[2026-04-16T09:08:12.666718] Redirecting stdout/stderr to: logs/seq_256_batch_size_ablation/transformer_logs_alibi.txt
No tokenizer path provided, training will create a new tokenizer from the training text
Usage: python train_causal_ldru.py --tokenizer_path <path_to_tokenizer_file>
Example: python train_causal_ldru.py --tokenizer_path /path/to/your/tokenizer.model
Training with text file: ptb_train.txt
Using validation text file: ptb_val.txt
Using test text file for model testing: ptb_test.txt
Creating dataset from text file...
Using SPTokenizer for subword tokenization.
Tokenizer model will be saved to: tokenizers/ptb_tokenizer_vocab1000_seq256_for_transformer_seq256_alibi_model_transformer_seq2seq_silu_default_256_SP.model
Tokenizer vocab size: 1000
Creating training dataset from text file...
Loading text from: ptb_train.txt
Tokenizing text...
Total tokens: 1,735,164
Created 13,554 sequences of length 256
Each sequence: [context tokens (length 255)] -> [target token]
All sequences used for dataset: 13,554
\nSample sequence: 'john lehman 's editorial-page article on the pentagon as a  ⁇ unk ⁇  house  ⁇ unk ⁇  the real roots ...'
Creating validation dataset from text file...
Loading text from: ptb_val.txt
Tokenizing text...
Total tokens: 135,593
Created 1,058 sequences of length 256
Each sequence: [context tokens (length 255)] -> [target token]
All sequences used for dataset: 1,058
Validation sequences: 1,058
Creating test dataset from text file...
Loading text from: ptb_test.txt
Tokenizing text...
Total tokens: 154,133
Created 1,203 sequences of length 256
Each sequence: [context tokens (length 255)] -> [target token]
All sequences used for dataset: 1,203
Test sequences: 1,203
Using ALiBi positional encodings for transformer model.
Using ALiBi positional encodings for transformer model.
Created evaluation model with dropout disabled
Initializing model...
Checkpoints will be saved to: checkpoints
Model has 3,842,500 parameters
Initial learning rate: 1.00e-03
Starting training...

Epoch 1/100

Training: 0it [00:00, ?it/s]
Training: 0it [00:37, ?it/s, Loss=7.4299, Acc=0.0002, PPL=1685.7, LR=1.00e-03]
Training: 1it [00:37, 37.75s/it, Loss=7.4299, Acc=0.0002, PPL=1685.7, LR=1.00e-03]
Training: 1it [00:37, 37.75s/it, Loss=7.1493, Acc=0.0175, PPL=1323.7, LR=1.00e-03]
Training: 1it [00:37, 37.75s/it, Loss=6.9246, Acc=0.0191, PPL=1098.7, LR=1.00e-03]
Training: 1it [00:37, 37.75s/it, Loss=6.7318, Acc=0.0285, PPL=941.6, LR=1.00e-03] 
Training: 1it [00:37, 37.75s/it, Loss=6.6182, Acc=0.0336, PPL=848.3, LR=1.00e-03]
Training: 1it [00:37, 37.75s/it, Loss=6.5209, Acc=0.0345, PPL=776.5, LR=1.00e-03]
Training: 1it [00:37, 37.75s/it, Loss=6.4590, Acc=0.0335, PPL=728.5, LR=1.00e-03]
Training: 1it [00:37, 37.75s/it, Loss=6.3958, Acc=0.0339, PPL=685.6, LR=1.00e-03]
Training: 8it [00:37,  3.45s/it, Loss=6.3958, Acc=0.0339, PPL=685.6, LR=1.00e-03]
Training: 8it [00:37,  3.45s/it, Loss=6.3484, Acc=0.0341, PPL=652.9, LR=1.00e-03]
Training: 8it [00:37,  3.45s/it, Loss=6.3030, Acc=0.0364, PPL=623.9, LR=1.00e-03]
Training: 8it [00:37,  3.45s/it, Loss=6.2745, Acc=0.0377, PPL=603.5, LR=1.00e-03]
Training: 8it [00:37,  3.45s/it, Loss=6.2515, Acc=0.0385, PPL=586.7, LR=1.00e-03]
Training: 8it [00:37,  3.45s/it, Loss=6.2258, Acc=0.0391, PPL=570.2, LR=1.00e-03]
Training: 8it [00:37,  3.45s/it, Loss=6.2077, Acc=0.0389, PPL=557.5, LR=1.00e-03]
Training: 8it [00:37,  3.45s/it, Loss=6.1824, Acc=0.0391, PPL=543.0, LR=1.00e-03]
Training: 15it [00:37,  1.51s/it, Loss=6.1824, Acc=0.0391, PPL=543.0, LR=1.00e-03]
Training: 15it [00:37,  1.51s/it, Loss=6.1711, Acc=0.0387, PPL=534.3, LR=1.00e-03]
Training: 15it [00:37,  1.51s/it, Loss=6.1577, Acc=0.0392, PPL=525.3, LR=1.00e-03]
Training: 15it [00:38,  1.51s/it, Loss=6.1468, Acc=0.0395, PPL=517.7, LR=1.00e-03]
Training: 15it [00:38,  1.51s/it, Loss=6.1342, Acc=0.0402, PPL=509.8, LR=1.00e-03]
Training: 15it [00:38,  1.51s/it, Loss=6.1253, Acc=0.0406, PPL=503.6, LR=1.00e-03]
Training: 15it [00:38,  1.51s/it, Loss=6.1194, Acc=0.0408, PPL=498.8, LR=1.00e-03]
Training: 15it [00:38,  1.51s/it, Loss=6.1128, Acc=0.0412, PPL=494.1, LR=1.00e-03]
Training: 22it [00:38,  1.19it/s, Loss=6.1128, Acc=0.0412, PPL=494.1, LR=1.00e-03]
Training: 22it [00:38,  1.19it/s, Loss=6.1049, Acc=0.0415, PPL=488.9, LR=1.00e-03]
Training: 22it [00:38,  1.19it/s, Loss=6.0978, Acc=0.0414, PPL=484.3, LR=1.00e-03]
Training: 22it [00:38,  1.19it/s, Loss=6.0913, Acc=0.0413, PPL=480.1, LR=1.00e-03]
Training: 22it [00:38,  1.19it/s, Loss=6.0885, Acc=0.0410, PPL=477.4, LR=1.00e-03]
Training: 22it [00:38,  1.19it/s, Loss=6.0845, Acc=0.0409, PPL=474.4, LR=1.00e-03]
Training: 22it [00:38,  1.19it/s, Loss=6.0789, Acc=0.0407, PPL=470.8, LR=1.00e-03]
Training: 22it [00:38,  1.19it/s, Loss=6.0678, Acc=0.0412, PPL=465.5, LR=1.00e-03]
Training: 29it [00:38,  1.93it/s, Loss=6.0678, Acc=0.0412, PPL=465.5, LR=1.00e-03]
Training: 29it [00:38,  1.93it/s, Loss=6.0682, Acc=0.0409, PPL=464.6, LR=1.00e-03]
Training: 29it [00:38,  1.93it/s, Loss=6.0622, Acc=0.0413, PPL=461.1, LR=1.00e-03]
Training: 29it [00:38,  1.93it/s, Loss=6.0604, Acc=0.0413, PPL=459.4, LR=1.00e-03]
Training: 29it [00:38,  1.93it/s, Loss=6.0577, Acc=0.0414, PPL=457.3, LR=1.00e-03]
Training: 29it [00:38,  1.93it/s, Loss=6.0561, Acc=0.0413, PPL=455.8, LR=1.00e-03]
Training: 29it [00:38,  1.93it/s, Loss=6.0534, Acc=0.0412, PPL=453.9, LR=1.00e-03]
Training: 29it [00:38,  1.93it/s, Loss=6.0507, Acc=0.0412, PPL=452.0, LR=1.00e-03]
Training: 36it [00:38,  2.95it/s, Loss=6.0507, Acc=0.0412, PPL=452.0, LR=1.00e-03]
Training: 36it [00:38,  2.95it/s, Loss=6.0463, Acc=0.0414, PPL=449.5, LR=1.00e-03]
Training: 36it [00:38,  2.95it/s, Loss=6.0423, Acc=0.0415, PPL=447.2, LR=1.00e-03]
Training: 36it [00:38,  2.95it/s, Loss=6.0379, Acc=0.0417, PPL=444.9, LR=1.00e-03]
Training: 36it [00:38,  2.95it/s, Loss=6.0368, Acc=0.0415, PPL=443.8, LR=1.00e-03]
Training: 36it [00:38,  2.95it/s, Loss=6.0354, Acc=0.0415, PPL=442.6, LR=1.00e-03]
Training: 36it [00:38,  2.95it/s, Loss=6.0317, Acc=0.0417, PPL=440.6, LR=1.00e-03]
Training: 36it [00:38,  2.95it/s, Loss=6.0298, Acc=0.0418, PPL=439.3, LR=1.00e-03]
Training: 43it [00:38,  4.36it/s, Loss=6.0298, Acc=0.0418, PPL=439.3, LR=1.00e-03]
Training: 43it [00:38,  4.36it/s, Loss=6.0263, Acc=0.0419, PPL=437.4, LR=1.00e-03]
Training: 43it [00:38,  4.36it/s, Loss=6.0206, Acc=0.0422, PPL=434.8, LR=1.00e-03]
Training: 43it [00:38,  4.36it/s, Loss=6.0156, Acc=0.0426, PPL=432.4, LR=1.00e-03]
Training: 43it [00:38,  4.36it/s, Loss=6.0121, Acc=0.0428, PPL=430.6, LR=1.00e-03]
Training: 43it [00:38,  4.36it/s, Loss=6.0115, Acc=0.0427, PPL=429.9, LR=1.00e-03]
Training: 43it [00:38,  4.36it/s, Loss=6.0118, Acc=0.0426, PPL=429.6, LR=1.00e-03]
Training: 43it [00:38,  4.36it/s, Loss=6.0126, Acc=0.0423, PPL=429.5, LR=1.00e-03]
Training: 50it [00:38,  6.27it/s, Loss=6.0126, Acc=0.0423, PPL=429.5, LR=1.00e-03]
Training: 50it [00:38,  6.27it/s, Loss=6.0110, Acc=0.0422, PPL=428.5, LR=1.00e-03]
Training: 50it [00:38,  6.27it/s, Loss=6.0102, Acc=0.0419, PPL=427.8, LR=1.00e-03]
Training: 50it [00:38,  6.27it/s, Loss=6.0090, Acc=0.0417, PPL=426.9, LR=1.00e-03]
Training: 50it [00:38,  6.27it/s, Loss=6.0082, Acc=0.0417, PPL=426.2, LR=1.00e-03]
Training: 50it [00:38,  6.27it/s, Loss=6.0070, Acc=0.0416, PPL=425.4, LR=1.00e-03]
Training: 50it [00:38,  6.27it/s, Loss=6.0060, Acc=0.0417, PPL=424.7, LR=1.00e-03]
Training: 50it [00:38,  6.27it/s, Loss=6.0019, Acc=0.0420, PPL=422.8, LR=1.00e-03]
Training: 57it [00:38,  8.80it/s, Loss=6.0019, Acc=0.0420, PPL=422.8, LR=1.00e-03]
Training: 57it [00:38,  8.80it/s, Loss=6.0012, Acc=0.0421, PPL=422.3, LR=1.00e-03]
Training: 57it [00:38,  8.80it/s, Loss=5.9990, Acc=0.0423, PPL=421.1, LR=1.00e-03]
Training: 57it [00:38,  8.80it/s, Loss=5.9991, Acc=0.0423, PPL=420.8, LR=1.00e-03]
Training: 57it [00:38,  8.80it/s, Loss=5.9976, Acc=0.0424, PPL=420.0, LR=1.00e-03]
Training: 57it [00:38,  8.80it/s, Loss=5.9960, Acc=0.0424, PPL=419.1, LR=1.00e-03]
Training: 57it [00:38,  8.80it/s, Loss=5.9937, Acc=0.0424, PPL=417.9, LR=1.00e-03]
Training: 57it [00:38,  8.80it/s, Loss=5.9914, Acc=0.0425, PPL=416.8, LR=1.00e-03]
Training: 64it [00:38, 12.08it/s, Loss=5.9914, Acc=0.0425, PPL=416.8, LR=1.00e-03]
Training: 64it [00:38, 12.08it/s, Loss=5.9906, Acc=0.0426, PPL=416.3, LR=1.00e-03]
Training: 64it [00:38, 12.08it/s, Loss=5.9905, Acc=0.0426, PPL=415.9, LR=1.00e-03]
Training: 64it [00:38, 12.08it/s, Loss=5.9899, Acc=0.0426, PPL=415.5, LR=1.00e-03]
Training: 64it [00:38, 12.08it/s, Loss=5.9888, Acc=0.0427, PPL=414.8, LR=1.00e-03]
Training: 64it [00:38, 12.08it/s, Loss=5.9882, Acc=0.0428, PPL=414.3, LR=1.00e-03]
Training: 64it [00:38, 12.08it/s, Loss=5.9864, Acc=0.0429, PPL=413.4, LR=1.00e-03]
Training: 64it [00:38, 12.08it/s, Loss=5.9851, Acc=0.0429, PPL=412.7, LR=1.00e-03]
Training: 71it [00:38, 16.18it/s, Loss=5.9851, Acc=0.0429, PPL=412.7, LR=1.00e-03]
Training: 71it [00:38, 16.18it/s, Loss=5.9819, Acc=0.0433, PPL=411.4, LR=1.00e-03]
Training: 71it [00:38, 16.18it/s, Loss=5.9803, Acc=0.0434, PPL=410.6, LR=1.00e-03]
Training: 71it [00:38, 16.18it/s, Loss=5.9799, Acc=0.0434, PPL=410.2, LR=1.00e-03]
Training: 71it [00:38, 16.18it/s, Loss=5.9796, Acc=0.0434, PPL=409.9, LR=1.00e-03]
Training: 71it [00:38, 16.18it/s, Loss=5.9788, Acc=0.0432, PPL=409.4, LR=1.00e-03]
Training: 71it [00:38, 16.18it/s, Loss=5.9770, Acc=0.0431, PPL=408.5, LR=1.00e-03]
Training: 71it [00:38, 16.18it/s, Loss=5.9767, Acc=0.0430, PPL=408.2, LR=1.00e-03]
Training: 78it [00:38, 21.07it/s, Loss=5.9767, Acc=0.0430, PPL=408.2, LR=1.00e-03]
Training: 78it [00:38, 21.07it/s, Loss=5.9754, Acc=0.0429, PPL=407.6, LR=1.00e-03]
Training: 78it [00:38, 21.07it/s, Loss=5.9746, Acc=0.0430, PPL=407.1, LR=1.00e-03]
Training: 78it [00:38, 21.07it/s, Loss=5.9741, Acc=0.0429, PPL=406.8, LR=1.00e-03]
Training: 78it [00:38, 21.07it/s, Loss=5.9740, Acc=0.0429, PPL=406.6, LR=1.00e-03]
Training: 78it [00:38, 21.07it/s, Loss=5.9728, Acc=0.0430, PPL=405.9, LR=1.00e-03]
Training: 78it [00:38, 21.07it/s, Loss=5.9727, Acc=0.0430, PPL=405.7, LR=1.00e-03]
Training: 78it [00:39, 21.07it/s, Loss=5.9703, Acc=0.0431, PPL=404.7, LR=1.00e-03]
Training: 85it [00:39, 26.59it/s, Loss=5.9703, Acc=0.0431, PPL=404.7, LR=1.00e-03]
Training: 85it [00:39, 26.59it/s, Loss=5.9693, Acc=0.0431, PPL=404.2, LR=1.00e-03]
Training: 85it [00:39, 26.59it/s, Loss=5.9683, Acc=0.0432, PPL=403.7, LR=1.00e-03]
Training: 85it [00:39, 26.59it/s, Loss=5.9668, Acc=0.0434, PPL=403.0, LR=1.00e-03]
Training: 85it [00:39, 26.59it/s, Loss=5.9661, Acc=0.0434, PPL=402.6, LR=1.00e-03]
Training: 85it [00:39, 26.59it/s, Loss=5.9652, Acc=0.0435, PPL=402.1, LR=1.00e-03]
Training: 85it [00:39, 26.59it/s, Loss=5.9651, Acc=0.0435, PPL=401.9, LR=1.00e-03]
Training: 85it [00:39, 26.59it/s, Loss=5.9647, Acc=0.0435, PPL=401.6, LR=1.00e-03]
Training: 92it [00:39, 32.49it/s, Loss=5.9647, Acc=0.0435, PPL=401.6, LR=1.00e-03]
Training: 92it [00:39, 32.49it/s, Loss=5.9641, Acc=0.0436, PPL=401.3, LR=1.00e-03]
